1000 9998
967 507 2
83 276 1
735 147 2
940 285 1
199 177 3
732 151 2
161 145 2
137 956 2
298 923 2
622 120 1
601 167 3
95 569 1
130 302 2
336 991 2
259 703 3
704 133 1
471 880 2
135 776 2
928 759 3
74 533 1
809 715 2
944 888 3
831 140 2
744 638 1
596 902 1
489 896 1
466 872 2
794 994 1
54 720 2
886 889 2
720 594 2
490 609 2
551 657 1
640 605 2
314 410 2
892 193 1
598 402 1
288 605 2
529 950 2
552 591 2
675 842 1
703 852 1
619 442 1
137 636 1
664 749 1
478 907 3
615 430 1
153 84 1
958 130 1
287 68 2
359 63 1
733 87 1
846 873 1
865 83 2
955 436 1
620 160 2
440 746 2
642 833 1
724 525 3
435 777 1
834 937 1
642 220 3
707 379 2
386 410 1
542 501 2
421 206 1
982 523 1
604 569 2
620 853 3
889 26 1
729 352 2
306 802 3
601 939 2
969 681 2
265 877 2
605 616 1
724 795 1
329 801 2
835 585 1
501 669 1
86 455 2
709 419 1
949 322 2
305 592 2
693 429 2
91 535 2
355 205 3
513 813 1
564 772 1
519 872 2
415 301 2
86 936 1
263 341 3
728 534 1
396 222 3
26 130 1
935 938 2
259 267 1
902 426 1
583 792 1
91 904 1
2 759 3
754 100 1
500 744 1
889 223 1
427 523 2
294 768 2
397 804 1
349 547 1
10 105 1
956 521 2
816 398 1
622 999 1
189 968 1
945 425 2
814 691 2
565 998 2
755 889 2
140 517 1
495 889 2
21 256 2
580 133 3
307 448 2
174 559 1
140 521 1
372 471 1
82 16 1
355 343 1
335 351 1
99 731 1
6 11 1
957 622 1
605 311 2
545 772 1
756 981 1
111 414 1
254 105 1
759 595 2
327 546 1
81 832 1
711 202 1
530 422 1
873 890 2
630 917 1
959 834 1
942 698 1
86 900 3
602 789 1
313 145 1
189 9 1
819 974 1
258 276 1
973 402 1
638 176 1
179 435 2
258 491 1
902 285 3
323 639 3
714 542 1
887 648 2
407 404 2
1000 884 1
655 123 3
714 24 1
850 24 1
592 242 1
545 82 1
769 799 1
814 400 2
254 386 2
270 460 1
142 387 2
792 316 2
381 920 1
86 968 1
861 818 2
119 67 2
864 243 2
970 250 2
609 234 2
110 400 2
78 943 1
168 415 2
942 266 2
863 638 2
633 522 2
325 990 1
697 482 2
926 553 2
872 163 1
63 842 3
824 590 3
649 714 2
677 684 2
898 169 3
709 65 2
276 223 2
547 681 2
53 765 1
336 121 2
211 478 2
749 810 1
615 770 2
825 665 1
827 138 1
811 123 1
71 343 2
345 725 1
635 800 2
849 63 2
426 399 2
750 795 1
26 477 1
345 681 2
627 817 1
939 207 2
332 499 1
715 486 2
24 32 3
799 252 2
398 113 2
316 469 1
827 153 2
823 479 1
899 198 1
162 623 2
626 774 1
907 957 3
579 951 1
454 8 2
11 917 2
832 298 2
265 798 2
617 469 3
327 842 1
100 337 1
487 302 1
478 983 2
675 254 1
60 360 2
509 23 2
60 265 2
70 640 2
179 342 1
431 932 3
868 38 2
663 818 2
822 155 2
956 264 2
942 658 3
43 569 2
321 247 1
423 16 3
627 868 2
516 40 1
276 594 2
681 460 2
506 205 1
810 442 1
204 265 1
547 280 2
107 667 1
874 620 2
670 375 1
671 579 1
312 868 2
580 793 1
156 505 2
734 829 1
460 527 2
754 800 1
4 508 2
630 765 2
982 543 3
22 129 1
347 495 1
829 376 1
70 248 1
771 379 1
686 441 1
961 880 1
997 705 1
886 891 2
431 765 2
828 96 2
892 138 1
763 316 2
707 612 1
995 383 2
634 273 2
504 203 1
248 601 2
235 573 2
782 58 1
73 526 2
780 890 2
301 317 1
194 96 1
717 863 1
883 880 1
239 870 1
929 182 3
965 246 1
758 885 1
443 404 2
561 621 1
467 293 2
709 43 2
798 224 1
103 750 2
383 788 1
862 554 2
32 471 1
22 452 1
159 88 1
877 94 2
542 744 2
691 706 1
725 204 1
145 198 3
790 500 2
92 600 1
806 408 2
2 472 2
323 967 1
739 223 1
756 442 1
39 532 2
792 426 1
990 99 1
741 530 3
394 371 2
10 786 1
158 829 2
640 494 3
530 976 2
600 781 1
54 427 1
292 828 3
353 771 2
966 120 1
528 947 2
825 980 2
736 466 1
741 285 1
152 72 2
512 542 3
123 916 1
861 185 1
60 928 1
245 952 1
437 753 1
2 546 1
473 180 2
122 23 3
493 772 3
614 471 1
417 634 3
505 478 2
646 978 2
111 885 1
489 700 2
185 864 2
907 911 1
323 16 2
143 698 2
605 228 2
430 248 1
829 521 1
181 324 1
831 87 2
282 644 1
560 67 2
454 109 1
314 845 1
906 460 1
18 521 1
540 541 3
513 402 3
280 462 2
250 854 3
170 112 1
785 328 2
389 746 2
220 51 1
966 522 3
418 971 1
262 719 2
476 416 1
874 306 2
969 634 2
457 167 1
356 767 1
560 335 3
186 292 2
437 555 1
65 747 1
959 593 1
325 684 1
346 671 2
82 732 1
866 505 2
237 868 1
358 526 1
207 584 1
312 616 2
181 615 1
294 614 1
19 91 1
678 713 2
447 862 2
933 59 2
3 58 2
536 91 2
36 67 2
347 833 1
547 555 1
332 384 1
878 884 2
366 494 1
591 994 2
754 789 1
351 922 1
327 652 2
318 959 2
617 971 1
447 118 1
499 582 2
236 184 1
52 806 2
838 156 2
231 784 3
655 132 3
333 564 2
546 367 2
733 509 2
437 31 2
806 736 1
108 809 1
711 575 3
691 891 1
539 456 1
605 22 1
954 785 2
40 590 3
348 26 1
572 789 2
72 174 3
358 285 1
823 219 2
528 242 1
698 852 3
939 891 2
386 737 2
982 214 1
275 723 1
89 231 1
960 926 2
671 313 3
505 784 1
706 590 1
603 536 1
310 728 1
17 647 1
531 170 2
222 59 2
404 713 1
799 446 2
761 381 3
223 465 3
954 623 3
778 37 2
127 276 2
792 696 2
680 614 2
655 191 1
998 47 2
100 555 2
794 897 1
548 179 1
120 496 2
256 105 1
601 247 2
959 968 2
570 445 2
944 335 2
729 344 3
757 6 2
448 459 1
528 757 2
162 141 2
23 848 2
161 446 1
328 775 1
159 103 1
626 125 3
886 620 2
724 656 1
373 739 1
290 774 2
114 719 1
834 803 1
361 892 2
490 63 1
962 468 2
108 289 2
649 57 2
429 903 2
371 793 1
594 85 1
80 132 2
902 340 1
524 517 2
217 39 1
831 698 2
3 301 1
709 457 1
881 158 2
439 601 3
794 921 2
282 876 2
216 204 1
860 47 2
550 641 1
378 343 1
496 84 2
471 171 1
279 564 2
669 332 2
729 507 2
598 155 2
944 372 1
130 869 2
424 388 2
1 813 1
320 334 2
783 645 2
655 381 3
593 13 1
915 568 1
1000 683 2
8 429 1
948 301 2
732 630 1
726 272 1
349 533 2
116 793 2
489 955 3
3 820 2
641 412 2
43 536 2
790 979 2
970 394 1
525 957 1
316 709 1
188 71 3
316 883 1
611 467 1
67 357 2
307 185 2
831 663 2
24 19 2
599 636 1
929 793 1
499 719 1
639 133 2
264 690 2
675 699 1
844 810 1
257 730 2
309 464 2
547 520 2
922 364 1
661 83 1
378 162 2
79 128 2
297 562 2
586 333 1
644 935 2
324 317 1
213 528 1
1000 240 2
105 192 1
379 923 2
497 327 1
846 969 3
202 702 3
561 917 2
219 35 1
578 279 3
424 224 3
684 977 3
729 401 2
268 450 1
514 603 1
629 127 2
360 865 1
909 654 2
792 351 2
251 972 2
507 778 3
696 402 3
842 544 2
518 414 2
533 271 1
807 296 1
371 327 1
553 89 2
777 522 1
954 517 2
547 273 2
592 771 2
142 312 1
763 583 2
623 55 1
544 188 2
887 1 2
584 765 2
926 148 1
372 325 2
267 801 3
405 40 2
50 382 1
928 391 2
937 90 1
387 595 1
522 508 2
884 764 1
541 959 1
639 104 1
974 287 2
132 845 2
381 808 1
319 699 2
14 448 3
766 333 2
964 279 1
940 8 3
37 228 3
145 272 2
510 787 1
653 746 1
194 68 1
437 773 1
21 94 2
77 768 1
429 15 2
539 614 1
769 117 3
467 899 1
799 377 1
588 261 3
440 804 2
851 545 2
84 309 1
590 489 1
237 522 1
300 880 2
525 999 2
358 453 2
722 86 1
268 266 2
317 490 3
454 940 3
522 241 1
995 632 1
325 161 1
121 658 1
862 826 2
556 92 2
839 455 2
8 695 1
410 132 1
16 246 2
19 820 3
750 396 1
569 927 2
578 842 1
180 210 2
495 279 1
753 355 2
537 286 1
906 12 1
765 319 2
145 67 1
429 864 1
558 497 2
278 706 3
414 606 2
954 401 1
956 367 1
397 721 3
813 351 2
329 154 2
984 245 1
47 685 2
922 849 1
37 920 2
312 856 1
431 662 2
206 163 3
685 549 1
85 437 1
604 320 2
769 109 1
294 728 1
950 716 2
838 819 2
733 598 2
500 676 1
696 5 2
699 917 1
90 464 1
668 127 2
793 972 2
419 87 2
8 5 2
841 611 1
427 513 1
747 845 1
235 439 1
536 759 2
418 634 2
497 212 1
432 196 2
626 538 2
151 846 2
631 318 2
617 61 3
970 277 2
303 798 1
798 626 2
35 903 2
88 318 2
936 750 1
271 198 3
414 330 2
244 112 2
567 861 1
5 971 1
719 335 2
840 550 1
126 156 2
776 410 2
712 731 1
337 779 2
241 794 2
261 644 2
742 226 1
454 982 2
60 749 1
244 473 2
614 648 2
901 210 3
179 490 1
838 93 2
316 904 1
491 446 2
481 909 1
473 710 1
721 954 2
777 951 3
732 191 2
880 265 2
195 317 2
624 259 2
432 171 1
36 81 2
756 578 1
896 363 2
226 440 2
4 416 1
826 701 1
454 896 1
779 739 3
696 256 2
92 174 2
434 547 1
453 136 1
205 548 3
798 486 1
375 366 2
276 734 1
177 731 2
561 500 2
522 876 2
432 562 2
352 159 1
106 99 1
35 636 1
367 247 2
439 526 1
313 664 2
453 405 1
24 122 3
254 384 3
825 603 1
59 22 2
537 86 2
946 141 2
505 66 1
757 942 3
115 297 2
620 506 1
189 241 2
431 262 2
45 298 1
664 705 2
131 496 1
763 344 1
787 907 1
698 809 1
953 326 1
356 300 1
872 762 2
505 37 3
420 84 2
283 806 2
219 51 2
180 171 1
813 394 2
216 40 1
232 169 3
280 52 2
65 249 2
297 107 3
391 376 2
59 885 1
936 543 2
641 693 1
720 506 2
777 114 1
547 222 3
566 62 1
892 237 1
666 455 3
553 122 2
631 987 2
423 533 1
438 123 3
513 352 3
489 648 2
936 870 1
250 247 1
590 442 2
925 97 2
376 208 2
499 476 2
685 157 1
777 542 1
618 94 3
559 752 2
646 554 1
74 716 1
806 955 2
468 204 1
32 381 1
913 313 1
495 333 2
209 109 2
111 577 2
766 422 2
472 862 2
665 231 1
977 448 1
495 381 1
688 722 1
497 144 3
941 736 1
780 482 2
681 15 3
529 628 1
737 812 1
960 302 2
40 301 1
517 923 2
891 611 2
500 336 1
100 737 2
190 638 3
521 661 1
627 86 1
199 885 1
845 415 3
146 187 1
307 849 1
320 349 3
818 548 1
427 848 1
331 690 1
390 824 2
746 806 1
168 690 1
736 661 1
643 400 3
97 488 2
33 259 2
747 451 2
336 932 2
845 688 2
438 429 2
821 450 2
487 477 2
268 762 1
254 204 2
780 906 2
18 12 1
617 398 2
550 255 2
613 775 2
649 654 3
505 561 2
738 757 2
737 729 1
263 947 3
90 83 1
344 87 3
865 550 1
181 343 1
557 836 2
258 87 1
13 401 1
301 564 1
715 791 2
520 224 1
47 308 1
711 732 1
921 79 1
946 37 2
384 571 1
487 688 2
653 662 2
271 239 1
711 634 2
990 365 1
50 334 3
483 80 1
266 984 1
430 763 2
258 942 1
859 354 1
308 585 2
697 429 1
681 445 2
976 644 2
427 660 1
335 927 1
449 547 3
68 855 3
731 670 3
435 540 2
311 198 2
888 461 3
246 165 2
790 144 1
470 274 2
374 2 1
212 528 1
151 586 2
217 806 2
980 734 1
337 702 2
241 526 2
96 259 2
367 152 1
755 372 2
211 31 2
984 399 1
796 829 1
652 665 1
251 630 2
698 623 2
230 676 1
444 473 1
241 642 1
634 817 1
17 433 2
892 650 1
613 481 1
311 286 2
229 964 1
175 587 1
363 518 3
770 983 1
602 17 2
856 735 2
542 503 2
673 563 1
321 450 2
666 596 1
572 908 2
372 318 2
368 314 2
522 406 1
225 44 1
769 604 2
846 432 2
769 903 3
318 413 1
78 868 1
994 959 1
657 927 1
712 886 2
166 84 2
584 668 1
356 630 2
343 95 3
949 232 1
953 45 2
960 976 2
582 320 1
337 947 1
983 515 1
338 538 2
260 33 1
858 170 2
584 623 1
802 260 3
481 27 2
212 587 2
572 871 1
559 571 2
570 246 2
646 790 1
907 565 2
746 38 1
729 689 1
824 174 1
228 556 2
128 369 3
986 626 1
219 529 1
236 211 1
465 722 2
427 730 1
659 374 1
643 338 1
43 446 1
2 775 1
806 390 2
857 617 1
233 59 1
840 148 2
933 849 1
713 862 1
400 203 1
504 592 2
52 575 2
141 342 1
475 370 2
95 105 1
753 651 2
428 704 1
851 289 3
739 764 1
997 28 3
991 892 2
154 280 3
936 707 3
78 426 2
595 292 2
804 307 1
841 921 1
94 317 2
900 862 1
997 863 1
679 508 2
717 291 1
30 780 1
409 207 1
999 949 1
596 117 1
71 881 2
945 843 2
475 423 2
476 593 3
458 524 1
892 699 1
617 903 3
834 487 2
197 296 2
21 493 2
249 775 3
577 456 2
646 653 2
166 72 1
71 104 2
408 10 2
613 902 1
637 280 2
351 151 1
408 398 1
735 642 2
409 703 1
584 711 3
750 858 2
977 791 1
871 722 1
531 247 2
564 293 2
354 858 2
182 647 1
855 537 2
48 682 2
394 850 2
918 651 1
6 394 1
797 148 2
714 504 3
388 514 3
540 538 2
174 55 2
928 547 2
811 944 3
502 458 1
89 552 1
333 896 2
516 390 2
906 123 2
9 516 2
603 317 1
56 922 1
525 262 1
479 712 1
211 426 2
873 245 2
42 849 3
212 953 2
255 28 2
704 744 1
963 435 2
547 393 1
438 279 2
804 737 1
814 425 3
313 322 3
888 558 1
941 591 1
893 455 2
308 283 1
206 494 2
823 550 2
174 897 2
345 329 1
463 663 2
509 377 1
605 306 1
169 9 1
824 206 2
718 205 1
107 601 3
721 259 1
708 170 2
948 155 2
937 991 2
958 234 2
14 883 1
383 358 2
349 927 1
390 811 2
969 414 2
606 673 1
611 582 1
607 102 2
676 763 2
579 606 1
442 138 1
599 134 1
685 910 2
998 261 1
84 955 3
549 499 2
913 521 1
648 617 1
781 408 3
718 11 2
989 573 3
481 67 2
454 695 2
238 678 1
512 659 2
47 904 2
117 933 1
365 378 3
669 996 2
490 717 2
661 93 3
842 877 2
3 874 1
233 851 2
877 389 3
143 697 3
959 604 2
639 614 1
128 661 1
153 940 2
973 441 1
391 526 1
200 471 1
152 567 1
483 748 1
232 554 2
10 956 2
210 877 2
955 15 1
418 750 1
788 64 1
83 59 2
479 646 1
267 976 2
585 799 1
48 373 1
859 950 1
104 843 2
390 539 1
59 284 2
809 736 1
634 723 2
534 930 3
843 363 1
134 362 1
77 291 2
936 552 3
316 712 1
697 16 2
954 807 2
261 652 3
727 370 2
660 289 1
775 469 2
804 79 3
618 245 2
520 816 1
361 893 2
358 700 2
859 43 2
153 165 2
268 42 1
939 674 2
964 325 2
99 823 1
42 737 1
724 713 1
879 845 1
893 675 3
960 675 2
240 886 1
96 167 1
998 144 1
112 201 1
82 327 1
755 813 2
264 673 2
11 839 2
722 752 1
148 646 2
36 666 2
679 671 1
47 529 1
44 586 3
676 531 1
216 298 1
107 542 1
965 264 1
560 427 2
484 968 1
743 923 2
481 905 1
457 333 1
875 181 2
223 394 1
642 643 2
865 607 1
663 259 2
354 310 1
682 300 2
886 51 2
874 57 1
303 946 3
113 655 1
946 565 1
64 518 1
319 695 2
996 91 1
542 313 2
393 979 1
985 64 2
938 867 2
192 827 2
99 670 2
705 833 1
584 960 2
529 929 1
178 703 2
765 737 2
190 878 1
731 888 1
920 809 3
261 204 1
613 106 2
707 73 1
395 1 2
383 791 1
886 934 2
842 97 2
966 217 2
664 881 3
62 155 1
524 572 2
143 801 2
430 288 1
35 581 2
236 889 2
780 60 3
257 808 1
387 218 2
280 353 1
764 494 1
428 396 1
747 977 1
457 31 2
380 332 1
582 993 1
446 889 2
798 734 2
780 450 2
651 15 1
784 871 1
163 900 3
118 218 1
285 37 1
442 161 2
990 678 2
559 205 2
37 795 1
839 803 1
476 871 1
54 844 2
836 26 2
644 298 2
193 198 3
992 670 2
987 758 1
696 336 2
137 88 1
785 639 1
351 798 2
888 967 2
592 307 3
204 797 2
755 846 2
468 287 1
7 373 2
449 299 1
177 618 1
624 526 2
419 782 2
177 947 1
187 355 2
366 13 1
921 453 1
342 481 2
111 627 1
644 74 2
12 686 2
104 835 2
588 431 1
203 822 3
940 436 1
656 541 2
218 820 2
329 576 1
919 438 2
982 656 3
876 458 2
268 531 2
882 673 2
544 258 2
82 37 2
982 581 2
637 41 2
994 584 2
538 404 1
358 687 3
569 185 2
387 975 1
917 932 3
310 881 2
928 508 2
67 287 1
816 55 1
45 948 1
271 259 2
456 790 2
111 945 2
1000 636 1
928 408 1
442 187 2
554 859 3
19 817 1
500 645 2
959 313 1
755 185 3
29 746 1
148 452 1
680 82 1
117 310 1
967 456 1
424 658 2
183 698 1
802 495 1
459 175 2
824 577 2
626 564 1
860 684 1
62 673 1
592 785 1
93 759 2
34 994 2
222 577 1
705 923 1
326 270 3
478 783 3
201 278 2
891 832 2
662 1000 2
812 789 3
980 68 1
68 456 1
69 881 2
456 651 2
248 638 2
325 315 2
416 596 1
463 395 2
843 242 2
856 477 1
116 315 1
223 747 1
696 247 2
491 99 2
178 305 2
896 16 2
180 67 1
841 911 2
230 269 2
57 240 3
413 355 2
244 962 2
20 331 1
254 803 3
259 523 2
876 634 1
194 398 1
486 182 1
946 734 2
210 611 2
430 307 3
240 126 2
429 141 2
46 264 1
638 956 2
384 599 2
341 767 1
160 461 1
635 364 2
876 918 2
646 224 1
801 707 2
948 610 2
673 707 1
243 384 1
291 447 1
786 98 1
544 174 1
234 994 3
431 882 2
995 718 1
501 428 2
892 861 2
791 945 1
326 194 2
151 791 2
422 585 1
55 615 1
527 644 1
569 792 1
667 915 1
730 290 1
59 874 1
639 707 1
823 2 2
600 656 2
360 8 1
395 933 2
661 849 1
84 719 2
571 142 3
899 21 2
323 902 1
933 598 1
300 603 2
228 47 1
901 103 1
132 514 1
865 232 1
366 831 2
427 450 2
939 402 2
891 396 1
834 627 2
199 676 1
835 59 3
305 206 1
76 739 3
920 534 1
849 878 1
260 689 2
64 78 2
681 776 2
577 462 2
366 468 1
758 425 1
514 583 1
58 61 1
356 983 2
40 985 1
860 455 1
417 752 3
56 7 3
845 309 3
746 856 1
288 862 2
465 641 2
365 881 2
851 262 2
968 308 1
349 891 1
831 495 1
841 48 2
337 462 1
195 902 2
392 572 1
735 865 1
967 285 2
317 140 1
348 478 1
132 746 1
631 121 1
834 344 2
152 309 1
150 865 1
865 268 1
8 155 2
137 791 1
163 92 2
352 796 3
685 704 2
774 974 1
373 315 2
453 371 2
666 523 3
587 106 1
527 70 1
513 649 2
67 471 2
842 237 1
651 291 3
286 196 2
589 319 3
501 670 1
362 799 1
570 179 1
397 185 1
243 329 1
199 943 1
547 416 2
229 241 1
845 573 1
391 241 3
316 727 1
652 272 2
728 420 1
581 696 2
94 487 1
32 305 1
327 616 1
442 376 2
841 597 2
590 613 1
299 361 2
684 511 1
264 644 2
846 931 2
686 773 1
372 745 3
114 882 2
761 870 1
505 477 3
259 38 1
568 300 1
175 758 1
212 325 3
768 51 2
175 280 1
404 564 2
36 475 2
400 926 1
850 779 2
859 517 1
898 411 1
811 140 1
367 633 2
513 294 2
429 50 1
122 57 1
287 475 2
443 814 1
463 145 2
719 402 2
560 165 1
475 78 1
799 766 1
502 692 2
185 336 2
576 486 1
616 662 3
58 493 3
964 375 2
917 638 1
802 190 3
560 69 2
50 118 2
702 200 2
645 71 2
834 583 1
232 150 1
11 362 2
262 668 2
724 115 1
863 363 3
392 640 2
35 784 1
209 322 1
184 564 2
950 545 1
511 707 1
185 611 1
543 538 2
320 420 1
7 854 1
51 396 2
333 27 1
400 853 2
64 755 1
316 467 1
752 457 2
344 837 2
983 913 1
298 634 1
606 722 1
711 775 1
580 276 3
663 996 2
568 986 1
7 404 1
702 952 2
662 676 2
989 625 1
913 655 1
255 910 1
153 556 2
383 637 1
291 454 1
246 477 2
211 169 1
528 701 2
47 55 2
184 134 2
204 463 1
64 161 2
956 543 1
871 241 1
43 572 1
96 527 2
987 684 2
932 392 2
478 686 1
408 778 1
104 708 2
807 113 2
414 253 2
750 537 2
60 231 2
117 669 2
267 704 1
608 879 2
148 521 2
900 269 3
809 230 2
837 969 2
973 980 1
84 110 1
624 941 3
153 874 2
829 713 1
664 607 1
113 338 2
704 30 1
739 262 2
461 948 1
927 465 1
733 681 2
116 719 3
676 139 1
761 123 1
409 744 1
274 177 3
265 65 2
875 925 2
269 169 2
308 248 1
845 238 1
883 690 2
449 858 1
338 874 1
84 500 1
450 671 3
31 544 2
8 279 1
538 309 1
208 861 1
36 377 2
744 224 1
857 138 2
419 734 1
257 243 2
530 153 2
848 926 1
47 82 1
267 205 2
434 209 2
784 3 2
795 736 1
876 357 2
679 705 2
526 472 2
393 986 2
471 461 2
528 969 3
647 154 1
557 479 2
880 435 1
324 936 3
20 341 2
589 419 2
170 328 1
374 976 2
804 61 2
588 384 1
127 854 1
619 766 1
415 961 1
931 561 3
869 225 2
699 984 2
94 621 2
950 890 2
323 938 2
103 178 2
94 703 1
914 718 1
394 943 1
741 536 2
208 815 1
92 966 2
38 266 1
15 303 2
768 952 3
491 41 2
910 429 1
442 960 2
61 296 2
199 729 2
86 289 2
606 85 1
98 997 1
660 264 1
432 216 3
117 22 1
424 530 1
482 205 2
212 111 3
166 737 1
494 839 3
311 330 1
756 927 1
988 602 1
203 373 2
83 643 1
189 550 1
10 984 3
735 270 3
996 83 2
775 365 1
200 322 1
260 624 3
254 814 2
639 822 1
215 262 2
284 599 3
608 940 1
870 329 1
925 600 2
361 751 1
951 695 1
651 415 2
230 35 2
55 834 2
181 125 3
1000 561 1
14 192 2
29 744 2
20 395 1
828 675 2
787 960 2
858 901 2
449 81 1
527 80 3
873 499 1
956 911 2
576 417 2
534 283 1
322 301 2
561 629 2
122 667 2
712 577 1
888 683 2
36 509 1
772 860 2
290 49 2
76 569 1
861 824 1
153 880 2
488 259 1
257 756 1
862 965 2
267 312 2
537 953 3
428 381 1
701 179 1
347 899 3
622 88 3
112 778 1
680 936 2
527 235 1
604 583 1
334 864 1
85 332 2
847 298 1
681 758 2
299 952 1
72 102 1
890 278 2
951 596 3
453 924 2
102 336 3
589 542 2
112 919 1
863 752 1
87 470 2
338 983 1
95 732 1
153 939 1
243 294 1
768 369 1
862 980 1
650 620 2
605 285 1
861 225 1
366 403 1
755 123 2
278 327 2
138 493 2
705 107 2
658 707 2
133 945 2
243 184 1
179 364 1
456 440 3
386 889 2
556 210 1
72 690 1
18 332 1
290 772 2
9 373 1
322 960 1
269 917 2
929 841 1
985 412 1
686 823 2
106 552 1
716 848 3
55 52 1
186 638 2
784 711 1
701 260 1
746 11 2
130 606 3
433 256 2
618 318 2
887 32 1
341 987 2
889 602 1
171 536 1
152 585 2
487 724 2
35 267 1
739 652 2
393 95 1
214 549 1
328 486 1
868 128 3
526 250 2
352 62 2
106 617 2
505 195 2
888 789 2
233 691 2
206 877 2
520 609 2
689 954 2
773 108 1
445 201 1
8 159 1
718 569 1
570 821 2
430 444 3
572 652 1
59 425 1
696 587 2
945 311 1
995 431 1
992 15 1
815 912 1
481 821 3
416 637 1
604 923 1
221 303 1
702 937 1
526 824 1
762 202 2
957 303 2
460 799 1
555 45 1
88 629 1
162 285 1
174 447 1
396 119 1
596 491 2
675 504 1
255 635 1
354 235 1
805 579 1
579 884 1
978 677 2
445 719 2
865 303 1
568 953 2
289 985 1
75 171 1
261 829 2
936 404 2
496 557 2
930 987 1
999 909 1
826 43 2
754 833 2
518 955 2
743 84 1
631 814 1
994 576 1
319 73 1
662 55 2
125 177 2
829 447 3
470 258 1
659 85 2
515 627 3
815 657 1
142 455 2
426 416 2
457 768 2
647 634 2
585 551 1
863 442 3
81 365 1
897 523 1
686 397 1
640 30 1
574 915 2
517 120 1
855 620 1
44 17 3
212 871 2
485 99 1
87 55 2
916 227 1
463 84 3
364 172 2
744 156 1
557 440 2
429 985 2
767 230 1
13 430 2
547 322 1
403 504 1
380 376 3
855 544 2
758 749 1
471 524 2
936 896 2
542 127 2
596 826 2
854 993 1
886 773 1
835 129 1
808 859 2
715 120 1
695 235 2
59 925 1
330 393 1
341 249 1
250 786 2
904 694 1
531 524 3
891 222 3
911 742 1
416 126 2
300 413 2
142 525 2
330 35 2
449 206 2
177 634 3
52 73 1
272 373 1
226 270 2
348 491 1
976 572 1
434 938 2
522 20 2
379 794 1
409 154 1
925 51 2
914 210 2
125 311 3
457 673 2
775 962 3
207 375 1
500 758 3
769 993 1
800 742 2
743 986 2
47 330 1
3 16 1
140 231 1
728 537 3
517 105 2
849 299 1
1 83 3
189 754 1
78 848 1
973 610 2
724 834 1
566 956 1
749 186 2
326 676 3
155 470 2
330 244 1
721 552 2
520 530 3
763 473 1
952 769 1
149 285 2
106 78 1
373 566 2
383 23 3
864 855 2
993 2 1
919 80 2
173 702 3
738 312 2
276 490 2
125 146 2
559 38 3
16 765 2
63 208 1
285 227 1
488 300 3
453 934 1
641 485 1
417 10 1
576 56 1
292 119 1
193 10 2
989 239 2
62 807 2
774 678 2
493 157 3
515 888 2
730 349 2
762 903 2
982 465 2
635 332 2
640 787 3
398 141 2
1000 866 1
435 404 2
345 585 1
355 670 2
634 784 3
183 492 1
945 766 1
321 535 3
592 207 1
791 76 1
622 889 1
540 838 1
425 744 1
318 492 2
61 22 1
319 783 1
709 908 1
125 222 2
452 268 1
295 273 2
188 856 2
312 637 2
996 982 2
788 349 1
732 259 2
271 806 1
960 377 3
815 936 1
444 321 3
546 553 1
228 595 1
772 894 2
525 146 3
164 739 1
888 9 1
258 475 3
849 859 1
245 24 1
474 679 2
218 420 1
516 371 2
686 175 1
38 307 1
210 36 2
856 511 2
245 724 3
714 708 3
810 24 2
838 393 1
274 226 1
746 180 1
595 898 1
111 105 1
730 998 1
15 413 2
993 160 1
491 760 2
454 429 1
218 197 2
530 652 2
230 325 1
929 908 1
725 863 3
162 401 1
243 432 3
291 709 1
562 991 1
552 205 1
853 661 2
754 877 2
996 824 1
310 335 1
122 557 1
475 363 1
375 967 1
147 665 1
619 279 2
407 238 3
106 359 3
519 191 3
240 263 2
714 617 2
202 680 2
125 600 2
625 1 2
792 677 2
566 134 3
956 619 1
142 555 2
480 204 2
808 230 1
109 22 2
227 694 1
522 702 1
737 566 2
552 823 1
944 763 2
113 89 1
632 329 2
893 990 2
451 628 2
350 4 2
806 848 1
949 397 2
60 333 3
927 150 2
147 500 1
481 299 1
199 471 2
531 91 2
438 540 1
997 344 1
265 430 2
276 745 2
791 644 2
25 774 2
177 695 2
478 739 3
403 331 1
291 70 2
55 610 2
917 821 1
301 133 1
456 304 1
108 489 1
737 398 1
532 173 2
120 425 3
617 859 3
450 416 2
171 101 1
919 132 1
918 217 2
191 642 1
699 448 1
311 856 2
45 54 2
296 174 2
728 587 2
265 283 2
715 606 1
715 986 1
544 218 2
451 438 3
350 358 2
473 341 2
165 374 1
377 875 1
850 137 1
898 155 1
188 42 1
154 668 2
571 270 1
374 240 2
133 319 2
320 231 2
968 193 2
99 143 1
556 136 2
226 267 2
527 913 1
322 719 1
382 173 2
155 103 1
266 676 2
138 824 1
488 605 2
717 827 1
479 751 1
727 730 1
916 764 3
753 797 2
421 735 2
632 759 2
105 143 1
199 211 2
966 706 2
63 724 1
124 982 1
480 227 1
247 464 2
221 244 2
877 45 1
721 445 2
462 822 2
470 797 2
152 906 1
32 67 1
540 853 2
919 967 2
917 319 2
421 321 2
105 910 3
161 988 2
469 971 1
995 662 1
793 415 2
985 871 1
807 232 1
346 214 2
3 975 1
816 893 1
317 155 1
30 41 2
904 927 1
43 743 2
426 292 2
400 548 2
219 448 1
792 404 1
926 316 2
494 347 1
672 626 2
919 3 2
740 938 2
